"epiweek_recolec","count_undetermined","count_unprocessed","count_all_resul_inf_a_all","count_all_resul_inf_b_all","count_all_resul_inf_all","count_all_resul_rsv_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_all_resul_sars_covid_all","count_all_resul_virus_all","count_neg_resul_inf_a_all","count_neg_resul_inf_b_all","count_neg_resul_inf_all","count_neg_resul_rsv_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_neg_resul_sars_covid_all","count_neg_resul_virus_all","count_pos_resul_inf_a_all","count_pos_resul_inf_b_all","count_pos_resul_inf_all","count_pos_resul_rsv_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","count_pos_resul_sars_covid_all","count_pos_resul_virus_all","pct_pos_resul_inf_a_all","pct_pos_resul_inf_b_all","pct_pos_resul_inf_all","pct_pos_resul_rsv_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all","pct_pos_resul_sars_covid_all","pct_pos_resul_virus_all"
2022-03-07,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,50,50,100
2022-03-14,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,100,100,100
2022-03-21,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-03-28,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-04-11,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-04-25,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-05-02,0,0,1,1,0,1,0,1,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2022-05-09,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2022-05-16,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-05-30,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2022-06-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-06-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-06-20,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-07-04,0,0,3,3,0,3,3,0,3,4,3,3,0,3,1,0,1,0,0,0,0,0,2,0,2,4,0,0,0,0,66.6666666666667,0,66.6666666666667,100
2022-07-11,0,0,6,6,0,6,6,0,6,6,6,6,0,5,3,0,3,0,0,0,0,1,3,0,3,6,0,0,0,16.6666666666667,50,0,50,100
2022-07-18,0,0,4,4,0,4,4,0,4,4,4,4,0,4,2,0,2,0,0,0,0,0,2,0,2,4,0,0,0,0,50,0,50,100
2022-07-25,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,100,0,100,100
2022-08-01,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,100,0,100,100
2022-08-08,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-08-15,0,0,2,2,0,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,100,0,100,100
2022-08-22,0,0,2,2,0,2,2,0,2,2,2,2,0,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,50,0,50,100
2022-09-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-09-12,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,100,0,0,0,100
2022-09-26,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-10-03,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,100,0,0,0,100
2022-10-10,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-10-17,0,0,2,2,0,2,2,0,2,2,2,2,0,1,2,0,2,0,0,0,0,1,0,0,0,2,0,0,0,50,0,0,0,100
2022-10-31,0,0,2,2,0,2,2,0,2,2,2,2,0,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,50,0,50,100
2022-11-07,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2022-11-14,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,100,0,0,0,100
2022-11-28,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2022-12-05,0,0,3,3,0,3,3,0,3,3,3,2,0,3,1,0,1,0,0,1,0,0,2,0,2,3,0,33.3333333333333,0,0,66.6666666666667,0,66.6666666666667,100
2022-12-12,0,0,4,4,0,4,4,0,4,4,4,4,0,4,2,0,2,0,0,0,0,0,2,0,2,4,0,0,0,0,50,0,50,100
2022-12-19,0,0,4,4,0,4,4,0,4,4,4,4,0,3,2,0,2,0,0,0,0,1,2,0,2,4,0,0,0,25,50,0,50,100
2022-12-26,0,0,5,5,0,5,5,0,5,5,5,5,0,4,4,0,4,0,0,0,0,1,1,0,1,5,0,0,0,20,20,0,20,100
2023-01-09,0,0,3,3,0,3,3,0,3,3,3,3,0,3,2,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,33.3333333333333,0,33.3333333333333,100
2023-01-23,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-02-06,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-02-13,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-02-20,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-02-27,0,0,3,3,0,3,3,0,3,3,3,2,0,3,3,0,3,0,0,1,0,0,0,0,0,3,0,33.3333333333333,0,0,0,0,0,100
2023-03-06,0,0,3,3,0,3,3,0,3,3,3,2,0,3,3,0,3,0,0,1,0,0,0,0,0,3,0,33.3333333333333,0,0,0,0,0,100
2023-03-13,0,0,3,3,0,3,3,0,3,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100
2023-03-27,0,0,2,2,0,2,2,0,2,2,2,1,0,2,2,0,2,0,0,1,0,0,0,0,0,2,0,50,0,0,0,0,0,100
2023-04-03,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-04-10,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-04-24,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-05-15,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-05-29,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-06-05,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-06-12,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-06-19,0,0,2,2,0,2,2,0,2,2,2,2,0,2,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,50,0,50,100
2023-06-26,0,0,4,4,0,4,4,0,4,4,3,4,0,4,3,0,3,0,1,0,0,0,1,0,1,4,25,0,0,0,25,0,25,100
2023-07-03,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,100,0,0,0,0,0,0,100
2023-07-10,0,0,4,4,0,4,4,0,4,4,4,3,0,4,3,0,3,0,0,1,0,0,1,0,1,4,0,25,0,0,25,0,25,100
